,Company name,Job title,Working model,Job Type,Required Experience ,Salary
188,KM Express & Logistics Ltd.,Senior Software Engineer Python,On Site,Full time,More than 5 years,80k-120k
189,Acmeai.tech,Strategic Support Executive,On Site,Full time,Less than 2 years ,20k-30k
190,B-cause Bangladesh Ltd.,Software Developer Manager,On Site,Full time,More than 7 years,100k-150k
191,Urban IT Solution,Software Engineer,On Site,Full time,Less than 2 years ,25k-30k
192,Ujet.cx,Software Engineer - Frontend (Senior),Remote,Full time,More than 6 years,200k
193,Ujet.cx,Software Engineer - Frontend (Junior),Remote,Full time,Less than 2 years ,100k
194,Perky Rabbit Corporation Limited,"Associate Software Developer (PHP, Laravel)",On Site,Full time,Less than 2 years ,35k
195,Enosis Solutions,Senior .NET Developer,On Site,Full time,More than 2 years,115k
196,Hishabee Technologies Limited,Sr. Front End React Developers,On Site,Full time,More than 4 years,70k-90k
197,IXora Solution Ltd,"Technical Lead (Python, Node.JS, React.JS)",On Site,Full time,More than 6 years,130k-180k
198,Lemon Hive,Front-End Developer Junior,On Site,Full time,More than 2 years,30k-50k
199,Lemon Hive,Front-end Developer Mid-Level,On Site,Full time,More than 4 years,50k-80k
200,Prediction Learning Associates Ltd. ,Software Engineer (Laravel) ,On Site,Full time,Less than 2 years ,20k-24k
201,Adventure Dhaka Limited,Backend Engineer (Java),On Site,Full time,More than 3 years,80k-130k
202,Adventure Dhaka Limited,Sr. Backend Engineer (Java),On Site,Full time,More than 3 years,80k-130k
203,Jobdesk® Ltd.,Senior DevOps Engineer,On Site,Full time,More than 4 years,40k-70k
204,Urban IT Solution,Ionic Developer,On Site,Full time,Less than 2 years ,15k-25k
205,LifePlus Bangladesh Ltd.,Full Stack Software Engineer (Mid-Level),On Site,Full time,More than 3 years,40k – 50k
206,Bevy Commerce,Project Manager,Remote,Full time,More than 2 years,40k - 65k
207,Bevy Commerce,Senior Project Manager,Remote,Full time,More than 3 years,65k-90k
208,Anwar Enterprise Systems,Software Engineer (Frontend),On Site,Full time,More than 3 years,80k-120k
209,ITclan BD,Laravel Web Apps Developer,On Site,Full time,Less than 2 years ,35k-60k
210,W3 Engineers Ltd.,Full Stack Software Engineer (ReactJS / VueJS & Python),On Site,Full time,More than 2 years,Negotiable
211,Ajra Technologies Limited,PHP Developer (Laravel),On Site,Full time,More than 2 years,Negotiable
212,HelloPay,Software Engineer,On Site,Full time,More than 3 years,Negotiable
213,InfoDigita Technologies,Senior Java Developer,On Site,Full time,More than 8 years,50k-110k
214,𝐄𝐧𝐨𝐬𝐢𝐬 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬,𝐒𝐨𝐟𝐭𝐰𝐚𝐫𝐞 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫 (𝐃𝐚𝐭𝐚𝐛𝐚𝐬𝐞),Hybrid,Full time,More than 3 years,80k-120k
215, Inument Solutions Limited,Senior Mobile App Engineer (React Native),On Site,Full time,More than 4 years,100k-250k
216,Cloudly Infotech Limited,Software Engineer (C++ / Python),On Site,Full time,More than 2 years,50k-150k
217,AOS - Authentic Outsource Solution,System Engineer,On Site,Full time,More than 2 years,40k
218,Kmexpress,Mid-level Flutter developer,On Site,Full time,Less than 2 years ,25k-40k
219,BJIT HR Agency Ltd.,Salesforce Developer,On Site,Full time,Fresher,Negotiable 
220,Blockstack,BACKEND DEVELOPER (MERN),On Site,Full time,More than 3 years,75k
221,BLOCKSTAK,BACKEND DEVELOPER (MERN),On Site,Full time,More than 3 years,75k
222,B-cause Bangladesh Ltd.,Software Developer Manager,On Site,Full time,More than 7 years,100k-150k
223,Cloudly,Software Engineer (C++),On Site,Full time,More than 2 years,60k-150k
224,ReformedTech ,𝗦𝗲𝗻𝗶𝗼𝗿 𝗣𝗿𝗼𝗷𝗲𝗰𝘁 𝗠𝗮𝗻𝗮𝗴𝗲𝗿,Remote,Full time,More than 5 years,130k-160k
